mjd,mag,magerr
51081.407604,17.855,0.006
51818.393575,17.613,0.005
51875.222573,17.693,0.005
52171.381675,17.828,0.006
52171.454999,17.827,0.006
52173.358133,17.82,0.006
52225.303433,17.851,0.006
52234.294585,17.845,0.006
52261.257942,17.828,0.006
52283.125313,17.826,0.006
52287.138437,17.82,0.007
52288.137856,17.811,0.005
52551.411143,17.732,0.005
52552.457131,17.731,0.005
52557.431490,17.722,0.005
52558.444015,17.725,0.006
52578.315625,17.709,0.006
52585.278605,17.69,0.005
52585.332819,17.712,0.006
52908.406058,17.989,0.006
52909.445238,17.975,0.006
52910.415480,17.983,0.006
52912.385497,17.977,0.006
52934.337963,17.977,0.006
52935.342650,17.953,0.006
52936.333889,17.973,0.006
52963.265729,17.967,0.006
52971.256644,17.959,0.006
53270.397980,18.051,0.015
53272.447888,18.037,0.006
53286.416608,18.066,0.006
53288.375100,18.051,0.006
53294.422772,18.035,0.008
53296.369781,18.022,0.013
53298.419550,18.03,0.006
53302.370769,18.008,0.007
53312.326330,17.983,0.01
53314.327501,17.992,0.006
53319.315297,17.978,0.006
53616.431852,18.039,0.006
53622.445082,18.04,0.006
53626.408281,18.04,0.007
53627.402180,18.042,0.006
53628.393145,18.041,0.007
53634.394553,18.035,0.009
53638.435890,18.044,0.007
53639.440141,18.042,0.006
53640.399926,18.029,0.006
53641.439306,18.04,0.006
53643.442400,18.038,0.006
53646.461332,18.037,0.007
53657.398191,17.999,0.008
53663.382739,18.06,0.009
53664.397055,18.096,0.009
53665.360711,18.021,0.008
53665.461683,18.084,0.008
53666.452823,18.068,0.008
53668.372340,18.043,0.007
53668.450299,18.05,0.007
53669.356300,18.045,0.007
53669.459951,18.065,0.008
53670.377192,18.033,0.006
53670.456272,18.04,0.007
53671.441049,18.087,0.007
53673.345180,18.041,0.006
53674.340537,18.023,0.006
53675.342067,18.021,0.006
53676.429992,18.062,0.007
53677.363097,18.056,0.006
53679.401894,18.038,0.006
53680.349764,18.044,0.006
53681.393409,18.051,0.007
53683.408316,18.001,0.013
53684.354905,18.047,0.013
53686.349196,18.047,0.009
53687.296220,18.056,0.012
53687.406580,18.037,0.018
53693.351654,18.011,0.01
53694.366360,18.069,0.009
53696.359126,18.04,0.007
53697.350434,18.048,0.007
53699.372493,18.047,0.007
53700.349390,18.042,0.006
53704.334976,18.039,0.006
53705.336060,18.026,0.006
53975.421055,17.992,0.011
53989.431052,17.996,0.017
53994.444142,17.984,0.013
53996.427826,18.057,0.019
53997.454701,18.011,0.011
54000.406466,17.992,0.01
54005.441009,18.001,0.016
54007.456748,18.012,0.019
54009.380428,18.015,0.016
54009.454788,18.019,0.012
54011.444902,18.01,0.015
54012.374750,18.02,0.015
54012.457718,17.969,0.018
54019.439865,18.035,0.021
54020.412796,18.01,0.028
54024.462312,18.023,0.015
54025.443892,17.99,0.016
54028.450657,18.024,0.018
54030.406061,18.038,0.017
54035.450055,17.991,0.022
54037.355622,18.025,0.014
54040.370070,18.011,0.018
54041.405670,18.037,0.018
54047.400958,17.942,0.018
54049.396501,17.989,0.016
54050.356675,17.965,0.018
54056.362491,18.025,0.017
54059.356759,17.989,0.016
54061.367834,17.97,0.042
54062.361676,18.015,0.018
54064.358078,17.967,0.016
54068.342265,17.99,0.012
54346.437784,17.966,0.018
54348.441617,18.002,0.013
54357.399956,17.992,0.019
54362.449761,18.016,0.014
54365.430537,17.996,0.014
54376.444982,18.002,0.014
54381.450074,18.004,0.017
54382.430040,17.982,0.012
54384.456831,18.034,0.018
54385.447760,17.991,0.019
54386.442505,17.98,0.017
54387.448274,17.983,0.02
54388.446669,18.005,0.016
54390.440665,18.012,0.013
54391.449129,17.988,0.012
54392.444200,18.008,0.023
54402.441435,18.019,0.021
54403.360473,17.974,0.017
54406.354442,18.002,0.02
54409.359214,18.009,0.017
54412.380030,18.001,0.016
