mjd,mag,magerr
51081.420294,18.638,0.009
51818.406260,18.549,0.008
51875.235253,18.44,0.007
52171.394355,18.575,0.008
52171.467677,18.581,0.008
52173.370708,18.589,0.008
52224.350811,18.52,0.008
52225.316125,18.496,0.007
52234.307278,18.502,0.008
52261.270632,18.496,0.007
52283.138007,18.498,0.008
52287.151130,18.491,0.007
52288.150549,18.48,0.007
52551.423834,18.472,0.007
52552.469821,18.496,0.007
52557.444180,18.491,0.007
52558.456707,18.49,0.007
52578.328317,18.479,0.007
52585.291296,18.488,0.007
52585.345510,18.491,0.007
52908.418748,18.482,0.007
52909.457929,18.498,0.007
52910.428173,18.459,0.007
52912.398188,18.489,0.008
52934.350656,18.487,0.007
52935.355341,18.472,0.007
52936.346581,18.48,0.007
52963.278421,18.478,0.007
53270.410659,18.551,0.014
53272.460578,18.551,0.007
53286.429298,18.538,0.008
53288.387792,18.546,0.008
53294.435464,18.608,0.01
53296.382496,18.526,0.015
53298.432240,18.547,0.008
53302.383461,18.548,0.009
53312.338997,18.57,0.014
53314.340192,18.606,0.009
53319.327989,18.585,0.008
53351.200726,18.553,0.008
53616.444543,18.636,0.008
53622.457773,18.627,0.008
53626.420972,18.635,0.009
53627.414871,18.641,0.008
53628.405836,18.63,0.009
53634.407245,18.654,0.014
53638.448581,18.665,0.01
53639.452832,18.647,0.009
53640.412617,18.673,0.009
53641.451997,18.691,0.01
53643.455091,18.65,0.009
53646.474023,18.647,0.009
53657.292769,18.658,0.021
53657.410882,18.654,0.01
53657.457058,18.646,0.008
53663.395430,18.695,0.014
53663.474440,18.701,0.018
53664.409746,18.682,0.037
53665.373402,18.659,0.01
53665.474371,18.685,0.013
53666.465513,18.692,0.011
53668.385032,18.658,0.01
53668.462988,18.714,0.014
53669.368992,18.667,0.009
53669.472640,18.67,0.011
53670.389883,18.658,0.01
53670.468960,18.711,0.011
53671.453738,18.692,0.009
53673.357871,18.66,0.008
53674.353229,18.676,0.009
53675.354759,18.687,0.008
53676.442681,18.647,0.009
53679.414585,18.698,0.008
53680.362456,18.685,0.008
53681.406099,18.679,0.009
53683.421005,18.701,0.013
53684.367597,18.737,0.011
53686.361887,18.677,0.013
53687.308912,18.709,0.019
53693.364345,18.662,0.018
53694.379058,18.704,0.014
53696.371817,18.706,0.01
53697.363125,18.721,0.01
53699.385182,18.696,0.01
53700.362080,18.676,0.008
53704.347667,18.695,0.009
53705.348751,18.695,0.01
53975.433817,18.641,0.036
53989.443743,18.631,0.023
53994.456819,18.619,0.013
53996.440494,18.624,0.026
53997.467274,18.635,0.018
54000.419200,18.667,0.02
54005.453651,18.639,0.015
54007.469314,18.65,0.014
54009.393066,18.672,0.012
54009.467494,18.647,0.014
54010.394636,18.603,0.018
54011.457581,18.635,0.017
54012.387502,18.631,0.028
54012.470367,18.647,0.021
54019.452592,18.641,0.015
54020.425603,18.639,0.018
54024.475083,18.636,0.015
54025.456581,18.645,0.015
54028.463344,18.673,0.018
54030.418766,18.67,0.02
54035.462719,18.661,0.026
54037.368266,18.666,0.015
54040.382790,18.69,0.024
54041.418220,18.707,0.021
54047.413266,18.699,0.028
54049.409320,18.661,0.014
54050.369441,18.661,0.022
54056.375186,18.651,0.016
54059.369671,18.661,0.016
54061.380576,18.675,0.025
54062.374324,18.705,0.018
54064.370825,18.648,0.017
54068.355071,18.649,0.022
54346.450416,18.549,0.016
54348.454330,18.576,0.011
54357.412675,18.597,0.025
54358.410176,18.572,0.019
54362.462448,18.545,0.013
54365.443205,18.538,0.025
54376.457534,18.509,0.02
54381.462807,18.517,0.021
54382.442717,18.524,0.022
54385.460506,18.539,0.017
54386.455078,18.498,0.015
54387.461007,18.508,0.031
54388.459358,18.52,0.02
54391.462013,18.516,0.024
54392.456932,18.523,0.023
54402.454237,18.578,0.024
54403.373141,18.56,0.019
54406.366968,18.545,0.02
54409.371822,18.534,0.017
54412.392783,18.54,0.019
