mjd,mag,magerr
51075.438746,20.638,0.028
51818.408374,20.047,0.019
51875.237409,20.165,0.021
52171.396502,20.775,0.03
52171.469831,20.761,0.029
52173.372762,20.712,0.031
52224.352896,20.548,0.023
52225.318256,20.486,0.024
52234.309407,20.563,0.028
52261.272761,20.443,0.023
52283.140136,20.354,0.026
52287.153259,20.411,0.024
52288.152679,20.385,0.023
52551.425964,20.257,0.022
52552.471950,20.373,0.021
52557.446309,20.416,0.021
52558.458837,20.377,0.021
52578.330446,20.423,0.02
52585.293426,20.43,0.023
52585.347639,20.449,0.02
52908.420878,20.55,0.025
52909.460058,20.524,0.024
52910.430301,20.46,0.025
52912.400317,20.569,0.027
52934.352786,20.62,0.029
52935.357472,20.692,0.029
52936.348711,20.648,0.025
52963.280551,20.743,0.028
53270.412825,20.373,0.019
53272.462707,20.34,0.022
53286.431428,20.415,0.027
53288.389923,20.398,0.022
53294.437593,20.398,0.022
53296.384626,20.382,0.025
53298.434370,20.392,0.023
53302.385591,20.379,0.035
53312.341149,20.331,0.039
53314.342321,20.403,0.031
53319.330118,20.449,0.032
53351.202856,20.529,0.028
53616.446673,20.453,0.026
53622.459904,20.435,0.021
53627.417002,20.438,0.025
53628.407965,20.353,0.032
53634.409374,20.42,0.089
53638.450711,20.381,0.039
53639.454961,20.456,0.03
53640.414748,20.49,0.03
53641.454126,20.461,0.03
53643.457221,20.465,0.029
53646.476156,20.386,0.028
53657.413011,20.376,0.031
53657.459175,20.403,0.025
53663.397560,20.193,0.057
53663.476570,20.361,0.083
53664.411876,20.23,0.126
53665.375532,20.22,0.04
53665.476503,20.428,0.055
53668.387161,20.223,0.036
53668.465119,20.365,0.044
53669.371123,20.25,0.029
53669.474767,20.332,0.045
53670.392012,20.34,0.036
53670.471089,20.367,0.036
53671.455867,20.389,0.026
53673.360001,20.306,0.02
53674.355361,20.385,0.028
53675.356888,20.333,0.023
53676.444810,20.437,0.029
53676.476533,20.28,0.061
53679.416715,20.366,0.025
53680.364585,20.278,0.021
53681.408229,20.283,0.025
53683.423134,20.271,0.04
53684.369727,20.264,0.037
53686.364016,20.297,0.053
53687.311043,20.292,0.084
53693.366475,20.476,0.094
53696.373947,20.256,0.032
53697.365255,20.366,0.03
53699.387310,20.289,0.028
53700.364210,20.291,0.022
53704.349796,20.3,0.025
53705.350882,20.254,0.029
53975.435913,20.637,0.039
53989.445866,20.714,0.068
53994.458914,20.624,0.028
53996.442650,20.572,0.029
53997.469425,20.624,0.023
54000.421304,20.507,0.031
54005.455776,20.545,0.033
54007.471460,20.613,0.023
54009.395239,20.545,0.022
54009.469597,20.517,0.024
54010.396741,20.567,0.026
54011.459746,20.515,0.022
54012.389575,20.653,0.051
54012.472533,20.604,0.032
54019.454690,20.462,0.047
54020.427628,20.452,0.06
54024.477143,20.553,0.04
54025.458729,20.493,0.028
54028.465429,20.629,0.028
54030.420862,20.58,0.028
54035.464871,20.66,0.031
54037.370352,20.543,0.023
54040.384853,20.55,0.024
54041.420381,20.605,0.027
54047.415378,20.604,0.099
54049.411321,20.686,0.056
54053.391180,20.463,0.032
54056.377289,20.519,0.033
54059.371592,20.497,0.026
54062.376458,20.556,0.025
54064.372924,20.553,0.027
54068.357029,20.469,0.037
54346.452456,20.493,0.048
54348.456459,20.318,0.035
54357.414774,20.436,0.025
54358.412256,20.405,0.028
54362.464594,20.478,0.021
54365.445325,20.484,0.021
54376.459697,20.454,0.029
54381.464893,20.385,0.026
54382.444812,20.36,0.029
54385.462612,20.427,0.027
54386.457225,20.427,0.028
54387.463076,20.414,0.029
54388.461481,20.47,0.025
54391.463959,20.441,0.034
54392.459055,20.419,0.023
54402.456263,20.298,0.079
54406.369121,20.403,0.025
54409.373974,20.366,0.023
54412.394906,20.486,0.032
