mjd,mag,magerr
51075.425871,18.679,0.008
51818.395527,18.912,0.009
51819.480691,18.941,0.01
51875.224508,18.776,0.008
52171.383667,18.651,0.008
52171.456973,18.629,0.008
52173.359915,18.645,0.009
52224.340029,18.668,0.008
52225.305384,18.648,0.008
52234.296535,18.686,0.008
52261.259892,18.645,0.008
52283.127263,18.679,0.009
52287.140387,18.646,0.008
52288.139806,18.657,0.008
52551.413093,18.996,0.009
52552.459080,18.981,0.009
52557.433440,18.978,0.01
52558.445966,18.996,0.009
52578.317575,18.976,0.009
52585.280556,18.987,0.009
52585.334770,18.992,0.009
52908.408008,18.983,0.009
52910.417431,18.973,0.01
52912.387446,18.957,0.01
52934.339913,18.96,0.009
52935.344602,18.993,0.01
52936.335840,19.007,0.009
52963.267680,19.007,0.009
52971.258595,19.049,0.011
53270.399977,19.113,0.018
53272.449839,19.046,0.01
53286.418558,19.044,0.011
53288.377050,19.055,0.01
53294.424723,19.017,0.011
53296.371750,19.022,0.02
53298.421499,19.104,0.01
53302.372720,19.073,0.014
53312.328386,19.093,0.021
53314.329451,19.166,0.012
53319.317248,19.125,0.011
53351.189984,19.057,0.01
53616.433802,19.202,0.011
53622.447033,19.142,0.01
53627.404131,19.144,0.01
53628.395094,19.125,0.014
53634.396504,19.127,0.022
53638.437842,19.155,0.012
53639.442091,19.162,0.012
53640.401877,19.146,0.012
53641.441256,19.09,0.012
53643.444340,19.139,0.011
53646.463284,19.151,0.011
53657.282029,19.119,0.034
53657.400142,19.238,0.021
53663.384690,19.169,0.02
53663.463704,19.131,0.024
53664.399007,19.127,0.017
53665.362661,19.188,0.024
53665.463637,19.206,0.018
53666.454774,19.195,0.016
53668.374290,19.159,0.014
53668.452252,19.218,0.016
53669.358252,19.166,0.013
53669.461901,19.169,0.016
53670.379142,19.165,0.013
53670.458226,19.187,0.014
53671.443001,19.162,0.013
53673.347130,19.161,0.01
53674.342489,19.165,0.011
53675.344017,19.143,0.01
53676.431943,19.145,0.011
53679.403846,19.153,0.012
53680.351715,19.088,0.01
53681.395360,19.182,0.011
53683.410266,19.16,0.023
53684.356857,19.066,0.019
53686.351146,19.155,0.022
53687.298173,19.02,0.032
53693.353605,19.136,0.023
53696.361078,19.155,0.014
53697.352385,19.146,0.013
53699.374442,19.096,0.013
53700.351341,19.164,0.011
53704.336926,19.101,0.011
53705.338012,19.159,0.012
53975.423077,18.875,0.023
53989.433004,18.915,0.017
53994.446116,18.859,0.025
53996.429800,18.892,0.044
53997.456537,18.873,0.028
54000.408458,18.908,0.016
54005.442904,18.844,0.024
54007.458569,18.87,0.031
54009.382376,18.907,0.021
54009.456748,18.852,0.016
54010.383879,18.839,0.019
54011.446804,18.895,0.021
54012.376716,18.881,0.025
54012.459701,18.803,0.029
54019.441920,18.888,0.025
54020.414800,18.799,0.018
54024.464318,18.785,0.017
54025.445878,18.821,0.018
54028.452561,18.8,0.022
54030.408020,18.792,0.02
54035.452030,18.806,0.02
54037.357483,18.801,0.014
54040.372047,18.794,0.021
54041.407486,18.792,0.021
54047.402628,18.834,0.055
54049.398448,18.863,0.019
54050.358611,18.807,0.027
54056.364433,18.89,0.021
54059.358691,18.796,0.015
54061.369940,18.873,0.019
54062.363597,18.842,0.02
54064.360057,18.833,0.017
54068.344173,18.792,0.025
54346.439621,18.781,0.022
54348.443583,18.653,0.018
54357.401932,18.702,0.018
54358.399381,18.67,0.02
54365.432489,18.683,0.02
54376.446797,18.74,0.013
54381.452065,18.748,0.023
54382.432022,18.703,0.051
54385.449710,18.717,0.025
54386.444334,18.757,0.013
54387.450297,18.738,0.019
54388.448618,18.741,0.015
54391.451076,18.75,0.012
54392.446192,18.705,0.038
54402.443381,18.776,0.023
54403.362471,18.78,0.014
54406.356221,18.808,0.015
54409.361076,18.739,0.02
54412.382046,18.798,0.021
