mjd,mag,magerr
51075.414455,18.429,0.007
51818.384127,18.648,0.008
51819.469294,18.707,0.01
51875.213123,18.679,0.008
52170.435107,18.726,0.008
52171.372209,18.731,0.009
52173.348475,18.715,0.009
52224.328620,18.685,0.008
52225.293969,18.713,0.008
52234.285123,18.67,0.009
52261.248478,18.625,0.008
52283.115849,18.59,0.009
52287.128973,18.581,0.008
52288.128393,18.65,0.008
52551.401679,18.514,0.007
52552.447667,18.479,0.008
52557.422027,18.472,0.008
52558.434554,18.527,0.007
52578.306162,18.522,0.007
52585.269141,18.498,0.007
52908.396595,18.537,0.008
52909.435776,18.535,0.007
52910.406019,18.571,0.008
52912.376034,18.558,0.008
52934.328501,18.511,0.008
52935.333189,18.609,0.008
52936.324427,18.518,0.008
52963.256265,18.586,0.008
52971.247181,18.588,0.008
53270.388482,18.539,0.013
53272.438425,18.529,0.009
53286.407147,18.528,0.008
53288.365638,18.535,0.008
53294.413310,18.556,0.02
53296.360316,18.541,0.02
53298.410087,18.559,0.008
53302.361307,18.529,0.01
53312.316864,18.555,0.014
53314.318038,18.552,0.009
53319.305835,18.55,0.008
53351.178570,18.58,0.008
53616.422391,18.59,0.008
53622.435619,18.624,0.008
53626.398819,18.618,0.008
53627.392718,18.627,0.008
53628.383684,18.617,0.011
53634.385091,18.655,0.015
53638.426427,18.626,0.009
53639.430680,18.58,0.008
53640.390463,18.638,0.008
53641.429846,18.567,0.008
53646.451871,18.677,0.015
53655.362637,18.627,0.008
53657.270615,18.659,0.021
53657.388731,18.571,0.012
53663.373278,18.618,0.014
53663.452290,18.611,0.015
53664.387592,18.62,0.011
53665.351250,18.626,0.01
53665.452223,18.659,0.012
53666.443364,18.611,0.011
53668.362878,18.61,0.01
53668.440839,18.649,0.012
53669.450492,18.588,0.01
53670.367730,18.576,0.009
53670.446812,18.627,0.01
53671.431588,18.632,0.009
53673.335717,18.583,0.008
53674.331074,18.581,0.008
53675.332605,18.603,0.008
53676.420531,18.634,0.009
53677.353635,18.58,0.008
53679.392433,18.634,0.008
53680.340303,18.578,0.008
53681.383947,18.651,0.008
53683.398855,18.641,0.009
53684.345443,18.629,0.01
53686.339734,18.573,0.014
53687.286756,18.665,0.02
53687.397121,18.583,0.038
53693.342194,18.585,0.016
53697.340972,18.635,0.009
53699.363032,18.581,0.009
53700.339928,18.602,0.008
53704.325515,18.56,0.008
53975.411625,18.453,0.036
53989.421561,18.426,0.017
53994.434626,18.448,0.011
53996.418369,18.453,0.015
53997.445144,18.427,0.017
54000.396989,18.425,0.017
54005.431513,18.471,0.01
54009.370907,18.428,0.013
54009.445314,18.477,0.017
54010.372443,18.491,0.02
54011.435391,18.426,0.014
54012.365292,18.478,0.01
54012.448216,18.419,0.024
54020.403418,18.459,0.015
54024.452936,18.463,0.012
54025.434400,18.451,0.019
54028.441168,18.481,0.016
54030.396587,18.495,0.023
54035.440601,18.517,0.017
54037.346084,18.489,0.029
54040.360595,18.456,0.015
54041.396079,18.47,0.013
54047.391189,18.497,0.019
54049.387094,18.474,0.02
54056.353007,18.496,0.034
54059.347297,18.479,0.047
54061.358389,18.493,0.028
54062.352180,18.481,0.021
54064.348734,18.509,0.019
54346.428174,18.48,0.014
54348.432149,18.484,0.017
54357.390483,18.517,0.009
54358.387997,18.485,0.029
54362.440288,18.492,0.016
54365.421038,18.48,0.026
54376.435376,18.481,0.015
54381.440603,18.468,0.014
54382.420524,18.466,0.026
54384.447267,18.433,0.015
54385.438318,18.509,0.014
54386.432948,18.471,0.019
54387.438801,18.487,0.021
54388.437179,18.459,0.011
54391.439637,18.53,0.026
54392.434754,18.475,0.017
54402.432033,18.486,0.023
54403.350971,18.456,0.02
54406.344834,18.518,0.019
54409.349641,18.432,0.018
54412.370571,18.445,0.016
