mjd,mag,magerr
51075.441931,20.651,0.029
51818.411576,20.44,0.023
51875.240613,20.507,0.026
52171.399697,20.614,0.026
52171.473034,20.657,0.027
52173.375941,20.677,0.028
52224.356125,20.527,0.024
52225.321442,20.576,0.025
52234.312594,20.563,0.029
52261.275948,20.5,0.023
52283.143324,20.448,0.03
52287.156446,20.504,0.025
52288.155866,20.489,0.025
52551.429151,20.566,0.029
52552.475138,20.499,0.023
52557.449497,20.539,0.023
52558.462023,20.539,0.023
52578.333633,20.595,0.024
52585.296614,20.57,0.024
52585.350826,20.513,0.022
52908.424064,20.594,0.026
52909.463246,20.603,0.024
52910.433488,20.639,0.027
52912.403503,20.566,0.026
52934.355971,20.518,0.025
52935.360659,20.54,0.025
52936.351898,20.485,0.023
52963.283737,20.523,0.023
53270.415946,20.649,0.024
53272.465895,20.655,0.025
53286.434615,20.562,0.031
53288.393107,20.556,0.027
53294.440779,20.565,0.031
53296.387784,20.52,0.026
53298.437556,20.576,0.025
53302.388777,20.525,0.037
53312.344313,20.553,0.042
53314.345508,20.544,0.032
53319.333305,20.556,0.034
53351.206041,20.552,0.027
53616.449859,20.318,0.023
53622.463090,20.272,0.019
53627.420188,20.286,0.021
53628.411152,20.302,0.035
53634.412561,20.296,0.058
53638.453898,20.299,0.029
53640.417934,20.313,0.026
53641.457313,20.138,0.029
53643.460409,20.24,0.023
53646.479341,20.171,0.023
53657.416198,20.239,0.025
53657.462375,20.307,0.024
53663.400747,20.339,0.067
53663.479758,20.274,0.075
53664.415063,20.22,0.206
53665.378719,20.174,0.039
53665.479689,20.219,0.042
53666.470828,20.241,0.037
53668.390348,20.135,0.035
53668.468306,20.291,0.042
53669.374309,20.194,0.024
53669.477955,20.217,0.037
53670.395199,20.204,0.028
53670.474278,20.216,0.039
53671.459055,20.252,0.024
53673.363187,20.208,0.02
53674.358547,20.24,0.027
53675.360074,20.172,0.02
53676.447998,20.208,0.025
53676.479721,20.172,0.064
53679.419902,20.227,0.022
53680.367772,20.188,0.022
53681.411416,20.248,0.024
53683.426321,20.267,0.046
53684.372914,20.269,0.025
53686.367203,20.255,0.046
53693.369662,20.263,0.069
53696.377134,20.33,0.035
53697.368441,20.292,0.03
53699.390497,20.334,0.029
53700.367398,20.3,0.024
53704.352982,20.264,0.024
53705.354067,20.301,0.026
53975.439081,20.338,0.032
53989.449038,20.297,0.047
53994.462083,20.298,0.023
53996.445799,20.224,0.026
53997.472622,20.29,0.023
54000.424457,20.259,0.025
54005.458978,20.284,0.021
54007.474602,20.298,0.022
54009.398414,20.38,0.026
54009.472794,20.361,0.021
54010.399918,20.307,0.023
54011.462868,20.37,0.022
54012.392778,20.319,0.037
54012.475687,20.385,0.031
54019.457874,20.323,0.043
54020.430836,20.301,0.035
54024.480328,20.266,0.03
54025.461927,20.299,0.029
54028.468620,20.356,0.026
54030.424048,20.348,0.024
54035.468040,20.337,0.029
54037.373549,20.355,0.023
54040.388053,20.334,0.021
54041.423548,20.399,0.022
54047.418556,20.413,0.077
54049.414488,20.319,0.046
54050.374651,20.326,0.054
54053.394119,20.318,0.034
54056.380471,20.333,0.025
54059.374748,20.28,0.025
54061.385847,20.391,0.035
54062.379643,20.388,0.024
54064.376096,20.398,0.031
54068.360266,20.319,0.031
54346.455658,19.982,0.032
54348.459617,19.991,0.024
54357.417966,20.064,0.022
54358.415462,20.05,0.027
54362.467774,20.023,0.019
54365.448518,20.017,0.017
54376.462861,20.01,0.021
54381.468101,20.044,0.02
54382.447981,19.995,0.025
54385.465766,20.061,0.022
54386.460427,19.995,0.019
54387.466287,20.026,0.025
54388.464654,20.008,0.021
54391.467114,19.974,0.024
54392.462228,20.003,0.027
54402.459430,20.056,0.068
54403.378446,20.089,0.104
54404.436054,19.989,0.341
54406.372317,19.997,0.022
54409.377112,20.004,0.018
54412.398035,20.023,0.026
