mjd,mag,magerr
51081.420774,19.954,0.021
51818.406785,20.033,0.019
51875.235733,19.923,0.018
52171.394835,19.952,0.018
52171.468182,19.932,0.017
52173.371107,19.928,0.018
52224.351290,19.825,0.015
52225.316593,19.758,0.015
52234.307745,19.809,0.018
52261.271100,19.9,0.016
52283.138475,19.823,0.018
52287.151597,19.811,0.016
52288.151016,19.825,0.016
52551.424302,20.021,0.019
52552.470289,20.012,0.017
52557.444649,20.016,0.017
52558.457175,19.978,0.016
52578.328784,19.92,0.016
52585.291764,19.972,0.017
52585.345978,19.97,0.016
52908.419215,20.25,0.021
52909.458397,20.237,0.02
52910.428639,20.196,0.022
52912.398655,20.205,0.021
52934.351124,20.177,0.019
52935.355810,20.153,0.02
52936.347049,20.166,0.018
52963.278889,20.017,0.017
53270.411138,20.153,0.021
53272.461047,20.127,0.019
53286.429766,20.138,0.022
53288.388259,20.086,0.018
53294.435931,20.125,0.024
53296.382937,20.109,0.025
53298.432707,20.098,0.018
53302.383929,20.066,0.028
53312.339464,20.057,0.026
53314.340658,20.121,0.023
53319.328456,20.015,0.021
53351.201194,20.082,0.019
53616.445011,20.494,0.029
53622.458240,20.49,0.022
53626.421439,20.471,0.034
53627.415338,20.529,0.026
53628.406303,20.48,0.036
53638.449048,20.415,0.037
53639.453300,20.471,0.031
53640.413083,20.424,0.029
53641.452465,20.327,0.032
53643.455559,20.412,0.027
53646.474491,20.391,0.024
53657.293236,20.141,0.103
53657.457525,20.306,0.025
53663.395898,20.385,0.061
53663.474908,20.275,0.076
53664.410214,20.388,0.146
53665.373870,20.279,0.036
53665.474840,20.255,0.051
53666.465981,20.405,0.041
53668.385499,20.367,0.039
53668.463457,20.379,0.049
53669.369459,20.333,0.029
53669.473108,20.473,0.051
53670.390351,20.36,0.038
53670.469428,20.342,0.045
53671.454206,20.385,0.027
53673.358339,20.413,0.021
53674.353697,20.257,0.025
53675.355226,20.275,0.023
53676.443149,20.361,0.024
53679.415053,20.293,0.025
53680.362924,20.324,0.021
53681.406567,20.269,0.026
53683.421473,20.444,0.043
53684.368065,20.25,0.031
53686.362355,20.368,0.052
53687.309380,20.154,0.07
53693.364814,20.275,0.085
53694.379526,20.279,0.053
53696.372284,20.297,0.037
53697.363592,20.325,0.033
53699.385649,20.307,0.03
53700.362548,20.309,0.024
53704.348134,20.282,0.026
53705.349218,20.277,0.033
53975.434250,20.186,0.028
53989.444182,20.198,0.064
53994.457243,20.094,0.023
53997.467800,20.137,0.019
54000.419661,20.044,0.028
54005.454118,20.117,0.024
54007.469756,20.169,0.024
54009.393533,20.159,0.023
54009.467963,20.145,0.022
54010.395070,20.088,0.026
54011.458042,20.155,0.022
54012.387925,20.078,0.049
54012.470851,20.226,0.025
54019.453272,20.21,0.04
54020.425972,20.09,0.036
54024.475483,20.244,0.031
54025.457094,20.14,0.028
54028.463767,20.175,0.033
54030.419235,20.118,0.02
54035.463202,20.208,0.032
54037.368694,20.159,0.023
54040.383186,20.197,0.024
54041.418764,20.224,0.031
54047.413725,20.113,0.063
54049.409623,20.236,0.044
54050.369852,20.211,0.049
54053.389267,20.232,0.029
54056.375623,20.178,0.027
54059.369922,20.169,0.029
54061.380990,20.221,0.029
54062.374789,20.293,0.026
54064.371234,20.176,0.027
54068.355388,20.163,0.029
54346.450815,20.291,0.044
54348.454770,20.196,0.031
54357.413108,20.188,0.024
54358.410615,20.24,0.027
54362.462911,20.266,0.02
54365.443696,20.306,0.024
54376.458076,20.345,0.031
54381.463247,20.257,0.026
54382.443153,20.255,0.029
54385.460920,20.299,0.034
54386.455602,20.301,0.02
54387.461429,20.263,0.029
54388.459799,20.284,0.028
54392.457373,20.271,0.028
54403.373607,20.321,0.075
54406.367552,20.334,0.026
54409.372407,20.301,0.02
54412.393245,20.22,0.034
