#Table1
plate,mjd,fiberid,z,subclass,e_bv_sfd,h_beta_flux,h_beta_eqw,oiii_h_beta_flux_ratio,oiii_h_gamma_flux_ratio,h_beta_h_gamma_flux_ratio
694,52209,32,0.2383117,STARBURST BROADLINE,0.03042942,466.2252,-11.6842,0.5670987,1.060314,1.869716
896,52592,462,0.05427433,BROADLINE,0.02707811,69.07693,-0.6654313,0.8968338,1.03636,1.155576
1362,53050,639,0.05767728,BROADLINE,0.01048433,7.54583,-0.239673,10.78742,-130.905,-12.13496
1727,53859,568,0.1188412,BROADLINE,0.04138075,5024.298,-21.31766,0.2283979,0.528325,2.313178
1744,53055,630,0.2407427,BROADLINE,0.03843554,1351.735,-4.530081,0.7668698,0.9137629,1.191549
1864,53313,562,0.05618459,,0.08578774,36.65266,-0.3301932,1.341136,5.101589,3.80393
1943,53386,466,0.1269882,BROADLINE,0.01675888,942.4144,-5.208287,0.798463,1.33189,1.668067
2033,53476,512,0.2848447,AGN BROADLINE,0.01505516,3167.782,-16.67516,0.3356205,0.7009295,2.088459
285,51930,280,0.2596902,BROADLINE,0.03197987,923.6492,-10.69686,2.167527,3.973245,1.833078
587,52026,370,0.06306924,,0.03690787,22.56555,-0.3297106,1.643667,6.079622,3.698817
2168,53886,484,0.264278,BROADLINE,0.04254047,2333.71,-7.715301,1.698867,2.865784,1.686879
2222,53799,194,0.1426254,STARBURST BROADLINE,0.02418874,3572.795,-24.84218,1.1999,3.012361,2.510511
2520,54584,249,0.1382551,STARBURST BROADLINE,0.04823577,5197.323,-24.13497,0.2633382,0.5893047,2.237825
2784,54529,535,0.1600988,STARBURST BROADLINE,0.020434,354.0004,-5.849254,3.885899,5.361671,1.379776
412,52258,129,0.08017637,BROADLINE,0.06504875,2925.605,-12.63087,0.559593,1.125262,2.010858
1012,52649,74,0.1027759,BROADLINE,0.01297909,3461.101,-22.34332,0.7229698,1.699948,2.35134
1848,54180,390,0.2308216,BROADLINE,0.04131947,969.6373,-7.999559,0.3264846,0.6215349,1.903719
1951,53389,614,0.07885244,STARBURST BROADLINE,0.01104522,8040.256,-20.80499,0.6073617,1.494997,2.461461
2882,54498,437,0.2251655,BROADLINE,0.009952372,1074.858,-12.56096,0.3640934,0.7527382,2.067431
2883,54525,524,0.09967799,STARBURST BROADLINE,0.01186498,4169.275,-27.72459,3.567403,6.47721,1.815665
451,51908,133,0.1228317,BROADLINE,0.02732966,2732.305,-11.01267,0.8942135,1.826002,2.042021
499,51988,9,0.2143538,STARBURST BROADLINE,0.01796462,649.4446,-13.3846,0.1968786,0.3902998,1.982439
542,51993,45,0.06307887,BROADLINE,0.04754315,39.52322,-0.5260484,1.012296,1.59691,1.577513
618,52049,579,0.0664644,,0.01282344,20.85965,-0.3571355,1.02937,1.189035,1.15511
1814,54555,573,0.129768,STARBURST BROADLINE,0.02729913,1777.444,-14.6751,2.350794,4.783716,2.034936
2147,53491,162,0.1247753,BROADLINE,0.02633778,2117.616,-13.20133,2.379307,5.495494,2.309704
2616,54499,564,0.06378573,,0.02349023,38.14082,-0.3704851,1.06954,0.8091533,0.7565432
556,51991,472,0.1158406,BROADLINE,0.01903846,457.6127,-5.153967,1.029028,1.424888,1.384693
740,52263,549,0.2349658,STARBURST BROADLINE,0.05002049,802.0439,-9.961286,1.671452,2.721861,1.628441
902,52409,134,0.0563294,STARBURST BROADLINE,0.0146779,2322.049,-20.472,1.28257,3.045658,2.374651
1309,52762,443,0.05126621,STARBURST BROADLINE,0.01942769,1218.343,-11.11801,0.9567834,1.903035,1.988993
1440,53084,204,0.1548114,STARBURST BROADLINE,0.01640413,3967.237,-19.68156,0.2134766,0.4336566,2.031401
1510,52992,178,0.2617091,STARBURST BROADLINE,0.02895342,1427.624,-12.41355,0.5382443,1.154965,2.145801
2147,53491,605,0.1444477,BROADLINE,0.02831765,686.9014,-8.880097,0.6052293,1.13987,1.883369
2222,53799,453,0.05897063,STARBURST BROADLINE,0.02191551,2150.045,-18.73977,0.4123738,0.7871025,1.908711
2594,54177,622,0.05681,,0.02510186,51.77808,-0.6261827,0.8090133,0.8952849,1.106638
357,51813,600,0.06150212,,0.02805919,44.60978,-0.5318509,1.103087,0.8932793,0.8097997
390,51900,114,0.06349286,BROADLINE,0.02584593,54.44826,-0.7344704,1.016777,1.828558,1.798387
490,51929,237,0.1206493,BROADLINE,0.01723473,967.4325,-11.93238,0.3550909,0.7158508,2.015965
542,51993,560,0.1322984,BROADLINE,0.0506738,1274.526,-15.90344,0.3498048,0.6945829,1.98563
551,51993,492,0.2344913,STARBURST BROADLINE,0.02005281,2229.068,-17.4852,0.4098286,0.8398883,2.049365
618,52049,204,0.0666587,,0.01276868,12.96903,-0.1499407,2.719439,2.856027,1.050226
969,52442,88,0.06457099,,0.02098229,33.4879,-0.3034805,1.025134,1.311323,1.279172
1006,52708,552,0.05046839,,0.01076256,35.00586,-0.3363576,0.7772707,0.7003518,0.9010398
1610,53144,469,0.121609,AGN BROADLINE,0.03196147,982.1518,-8.866331,0.3686905,0.6229115,1.689524
2094,53851,630,0.1175316,STARBURST BROADLINE,0.01869195,1342.066,-9.84405,3.506023,5.323744,1.518456
2128,53800,436,0.0520518,,0.02022265,75.40821,-0.6175584,0.5941785,0.9543612,1.606186
